arrival_date,total_guests
2016-02-23,78
2016-02-24,135
2016-02-25,194
2016-02-26,179
2016-02-27,172
2016-02-28,214
2016-02-29,121
2016-03-01,107
2016-03-02,156
2016-03-03,164
2016-03-04,263
2016-03-05,148
2016-03-06,89
2016-03-07,138
2016-03-08,123
2016-03-09,133
2016-03-10,155
2016-03-11,229
2016-03-12,138
2016-03-13,145
2016-03-14,113
2016-03-15,103
2016-03-16,111
2016-03-17,221
2016-03-18,279
2016-03-19,247
2016-03-20,336
2016-03-21,241
2016-03-22,210
2016-03-23,186
2016-03-24,281
2016-03-25,407
2016-03-26,185
2016-03-27,120
2016-03-28,222
2016-03-29,143
2016-03-30,202
2016-03-31,261
2016-04-01,160
2016-04-02,152
2016-04-03,149
2016-04-04,204
2016-04-05,133
2016-04-06,368
2016-04-07,212
2016-04-08,269
2016-04-09,296
2016-04-10,149
2016-04-11,229
2016-04-12,175
2016-04-13,286
2016-04-14,324
2016-04-15,260
2016-04-16,211
2016-04-17,262
2016-04-18,182
2016-04-19,132
2016-04-20,339
2016-04-21,242
2016-04-22,343
2016-04-23,226
2016-04-24,235
2016-04-25,187
2016-04-26,192
2016-04-27,229
2016-04-28,363
2016-04-29,311
2016-04-30,174
2016-05-01,119
2016-05-02,303
2016-05-03,112
2016-05-04,180
2016-05-05,411
2016-05-06,177
2016-05-07,193
2016-05-08,171
2016-05-09,217
2016-05-10,168
2016-05-11,182
2016-05-12,238
2016-05-13,425
2016-05-14,175
2016-05-15,208
2016-05-16,217
2016-05-17,238
2016-05-18,122
2016-05-19,373
2016-05-20,381
2016-05-21,289
2016-05-22,182
2016-05-23,143
2016-05-24,223
2016-05-25,113
2016-05-26,403
2016-05-27,117
2016-05-28,99
2016-05-29,293
2016-05-30,178
2016-05-31,218
2016-06-01,129
2016-06-02,425
2016-06-03,284
2016-06-04,215
2016-06-05,101
2016-06-06,265
2016-06-07,195
2016-06-08,335
2016-06-09,378
2016-06-10,306
2016-06-11,107
2016-06-12,232
2016-06-13,141
2016-06-14,273
2016-06-15,362
2016-06-16,223
2016-06-17,525
2016-06-18,160
2016-06-19,181
2016-06-20,291
2016-06-21,137
2016-06-22,103
2016-06-23,178
2016-06-24,377
2016-06-25,33
2016-06-26,357
2016-06-27,275
2016-06-28,208
2016-06-29,159
2016-06-30,266
2016-07-01,297
2016-07-02,187
2016-07-03,177
2016-07-04,200
2016-07-05,144
2016-07-06,266
2016-07-07,283
2016-07-08,228
2016-07-09,207
2016-07-10,173
2016-07-11,263
2016-07-12,185
2016-07-13,209
2016-07-14,261
2016-07-15,192
2016-07-16,245
2016-07-17,169
2016-07-18,241
2016-07-19,141
2016-07-20,222
2016-07-21,330
2016-07-22,175
2016-07-23,309
2016-07-24,191
2016-07-25,244
2016-07-26,183
2016-07-27,243
2016-07-28,253
2016-07-29,156
2016-07-30,287
2016-07-31,147
2016-08-01,294
2016-08-02,197
2016-08-03,248
2016-08-04,278
2016-08-05,237
2016-08-06,261
2016-08-07,196
2016-08-08,319
2016-08-09,199
2016-08-10,203
2016-08-11,294
2016-08-12,236
2016-08-13,319
2016-08-14,224
2016-08-15,237
2016-08-16,228
2016-08-17,234
2016-08-18,326
2016-08-19,301
2016-08-20,294
2016-08-21,255
2016-08-22,276
2016-08-23,180
2016-08-24,264
2016-08-25,260
2016-08-26,228
2016-08-27,169
2016-08-28,261
2016-08-29,219
2016-08-30,195
2016-08-31,186
2016-09-01,257
2016-09-02,246
2016-09-03,273
2016-09-04,188
2016-09-05,263
2016-09-06,144
2016-09-07,134
2016-09-08,350
2016-09-09,338
2016-09-10,146
2016-09-11,228
2016-09-12,212
2016-09-13,232
2016-09-14,164
2016-09-15,455
2016-09-16,370
2016-09-17,177
2016-09-18,205
2016-09-19,269
2016-09-20,286
2016-09-21,234
2016-09-22,304
2016-09-23,204
2016-09-24,185
2016-09-25,224
2016-09-26,390
2016-09-27,161
2016-09-28,182
2016-09-29,264
2016-09-30,452
2016-10-01,281
2016-10-02,213
2016-10-03,281
2016-10-04,218
2016-10-05,270
2016-10-06,316
2016-10-07,333
2016-10-08,125
2016-10-09,195
2016-10-10,258
2016-10-11,160
2016-10-12,296
2016-10-13,509
2016-10-14,292
2016-10-15,168
2016-10-16,371
2016-10-17,305
2016-10-18,113
2016-10-19,139
2016-10-20,293
2016-10-21,408
2016-10-22,179
2016-10-23,245
2016-10-24,151
2016-10-25,210
2016-10-26,163
2016-10-27,236
2016-10-28,541
2016-10-29,312
2016-10-30,285
2016-10-31,182
2016-11-01,232
2016-11-02,175
2016-11-03,323
2016-11-04,351
2016-11-05,208
2016-11-06,128
2016-11-07,569
2016-11-08,50
2016-11-09,67
2016-11-10,172
2016-11-11,324
2016-11-12,176
2016-11-13,169
2016-11-14,156
2016-11-15,80
2016-11-16,169
2016-11-17,186
2016-11-18,277
2016-11-19,167
2016-11-20,123
2016-11-21,196
2016-11-22,104
2016-11-23,117
2016-11-24,154
2016-11-25,292
2016-11-26,112
2016-11-27,119
2016-11-28,134
2016-11-29,111
2016-11-30,88
2016-12-01,222
2016-12-02,296
2016-12-03,190
2016-12-04,141
2016-12-05,140
2016-12-06,131
2016-12-07,183
2016-12-08,345
2016-12-09,186
2016-12-10,128
2016-12-11,46
2016-12-12,73
2016-12-13,74
2016-12-14,63
2016-12-15,109
2016-12-16,188
2016-12-17,101
2016-12-18,91
2016-12-19,106
2016-12-20,77
2016-12-21,113
2016-12-22,156
2016-12-23,156
2016-12-24,126
2016-12-25,122
2016-12-26,266
2016-12-27,384
2016-12-28,254
2016-12-29,265
2016-12-30,236
2016-12-31,103
2017-01-01,221
2017-01-02,261
2017-01-03,195
2017-01-04,121
2017-01-05,133
2017-01-06,148
2017-01-07,94
2017-01-08,118
2017-01-09,80
2017-01-10,106
2017-01-11,65
2017-01-12,173
2017-01-13,151
2017-01-14,250
2017-01-15,93
2017-01-16,117
2017-01-17,47
2017-01-18,284
2017-01-19,135
2017-01-20,125
2017-01-21,152
2017-01-22,110
2017-01-23,280
2017-01-24,84
2017-01-25,268
2017-01-26,108
2017-01-27,140
2017-01-28,114
2017-01-29,68
2017-01-30,101
2017-01-31,63
2017-02-01,222
2017-02-02,182
2017-02-03,146
2017-02-04,148
2017-02-05,127
2017-02-06,81
2017-02-07,87
2017-02-08,57
2017-02-09,208
2017-02-10,216
2017-02-11,139
2017-02-12,337
2017-02-13,219
2017-02-14,183
2017-02-15,226
2017-02-16,162
2017-02-17,240
2017-02-18,104
2017-02-19,191
2017-02-20,224
2017-02-21,101
2017-02-22,144
2017-02-23,192
2017-02-24,198
2017-02-25,320
2017-02-26,264
2017-02-27,204
2017-02-28,77
2017-03-01,138
2017-03-02,447
2017-03-03,220
2017-03-04,124
2017-03-05,183
2017-03-06,217
2017-03-07,139
2017-03-08,120
2017-03-09,195
2017-03-10,271
2017-03-11,200
2017-03-12,137
2017-03-13,235
2017-03-14,158
2017-03-15,305
2017-03-16,264
2017-03-17,268
2017-03-18,161
2017-03-19,173
2017-03-20,231
2017-03-21,244
2017-03-22,135
2017-03-23,228
2017-03-24,263
2017-03-25,192
2017-03-26,193
2017-03-27,200
2017-03-28,89
2017-03-29,159
2017-03-30,217
2017-03-31,300
2017-04-01,217
2017-04-02,140
2017-04-03,329
2017-04-04,209
2017-04-05,281
2017-04-06,323
2017-04-07,225
2017-04-08,241
2017-04-09,383
2017-04-10,268
2017-04-11,179
2017-04-12,204
2017-04-13,328
2017-04-14,308
2017-04-15,390
2017-04-16,223
2017-04-17,250
2017-04-18,164
2017-04-19,213
2017-04-20,228
2017-04-21,406
2017-04-22,273
2017-04-23,236
2017-04-24,218
2017-04-25,122
2017-04-26,489
2017-04-27,284
2017-04-28,418
2017-04-29,372
2017-04-30,143
2017-05-01,304
2017-05-02,219
2017-05-03,258
2017-05-04,355
2017-05-05,400
2017-05-06,352
2017-05-07,172
2017-05-08,240
2017-05-09,239
2017-05-10,231
2017-05-11,315
2017-05-12,221
2017-05-13,251
2017-05-14,183
2017-05-15,371
2017-05-16,165
2017-05-17,193
2017-05-18,258
2017-05-19,480
2017-05-20,370
2017-05-21,203
2017-05-22,260
2017-05-23,194
2017-05-24,431
2017-05-25,355
2017-05-26,300
2017-05-27,189
2017-05-28,255
2017-05-29,183
2017-05-30,361
2017-05-31,209
2017-06-01,327
2017-06-02,357
2017-06-03,263
2017-06-04,193
2017-06-05,256
2017-06-06,180
2017-06-07,202
2017-06-08,525
2017-06-09,347
2017-06-10,143
2017-06-11,285
2017-06-12,266
2017-06-13,148
2017-06-14,227
2017-06-15,269
2017-06-16,249
2017-06-17,310
2017-06-18,186
2017-06-19,260
2017-06-20,244
2017-06-21,221
2017-06-22,219
2017-06-23,307
2017-06-24,189
2017-06-25,232
2017-06-26,238
2017-06-27,296
2017-06-28,359
2017-06-29,282
2017-06-30,266
2017-07-01,203
2017-07-02,211
2017-07-03,244
2017-07-04,282
2017-07-05,192
2017-07-06,312
2017-07-07,308
2017-07-08,197
2017-07-09,312
2017-07-10,271
2017-07-11,234
2017-07-12,269
2017-07-13,300
2017-07-14,158
2017-07-15,394
2017-07-16,213
2017-07-17,271
2017-07-18,202
2017-07-19,140
2017-07-20,196
2017-07-21,212
2017-07-22,276
2017-07-23,238
2017-07-24,296
2017-07-25,216
2017-07-26,271
2017-07-27,223
2017-07-28,239
2017-07-29,322
2017-07-30,173
2017-07-31,270
2017-08-01,227
2017-08-02,233
2017-08-03,261
2017-08-04,236
2017-08-05,190
2017-08-06,161
2017-08-07,267
2017-08-08,198
2017-08-09,250
2017-08-10,226
2017-08-11,183
2017-08-12,292
2017-08-13,201
2017-08-14,230
2017-08-15,244
2017-08-16,316
2017-08-17,264
2017-08-18,280
2017-08-19,265
2017-08-20,195
2017-08-21,206
2017-08-22,124
2017-08-23,190
2017-08-24,201
2017-08-25,289
2017-08-26,230
2017-08-27,230
2017-08-28,210
2017-08-29,169
2017-08-30,100
2017-08-31,169
