,hotel,country,arrival_date,total_guests,total_stays
135,Resort Hotel,PRT,2015-07-05,2,1
136,Resort Hotel,PRT,2015-07-05,2,1
137,Resort Hotel,PRT,2015-07-05,3,2
138,Resort Hotel,FRA,2015-07-05,2,2
139,Resort Hotel,ESP,2015-07-05,2,4
140,Resort Hotel,CN,2015-07-05,3,5
141,Resort Hotel,ESP,2015-07-05,2,5
142,Resort Hotel,PRT,2015-07-05,2,5
143,Resort Hotel,ESP,2015-07-05,2,6
144,Resort Hotel,PRT,2015-07-05,2,6
145,Resort Hotel,PRT,2015-07-05,4,6
146,Resort Hotel,PRT,2015-07-05,2,7
147,Resort Hotel,PRT,2015-07-05,4,7
148,Resort Hotel,IRL,2015-07-05,2,7
149,Resort Hotel,PRT,2015-07-05,2,7
150,Resort Hotel,ESP,2015-07-05,2,7
151,Resort Hotel,CHE,2015-07-05,4,9
152,Resort Hotel,PRT,2015-07-05,2,10
153,Resort Hotel,PRT,2015-07-05,3,10
154,Resort Hotel,GBR,2015-07-05,2,11
155,Resort Hotel,GBR,2015-07-05,1,14
156,Resort Hotel,GBR,2015-07-05,2,14
157,Resort Hotel,PRT,2015-07-06,4,5
158,Resort Hotel,PRT,2015-07-06,2,4
159,Resort Hotel,USA,2015-07-06,2,4
160,Resort Hotel,CN,2015-07-06,3,4
161,Resort Hotel,CHE,2015-07-06,4,4
162,Resort Hotel,PRT,2015-07-06,2,4
163,Resort Hotel,USA,2015-07-06,3,4
164,Resort Hotel,PRT,2015-07-06,3,1
165,Resort Hotel,PRT,2015-07-06,2,2
166,Resort Hotel,USA,2015-07-06,2,2
167,Resort Hotel,GRC,2015-07-06,2,3
168,Resort Hotel,PRT,2015-07-06,2,4
169,Resort Hotel,PRT,2015-07-06,2,4
170,Resort Hotel,PRT,2015-07-06,2,4
171,Resort Hotel,PRT,2015-07-06,2,5
172,Resort Hotel,PRT,2015-07-06,2,5
173,Resort Hotel,ESP,2015-07-06,2,6
174,Resort Hotel,PRT,2015-07-06,2,6
175,Resort Hotel,PRT,2015-07-06,4,7
176,Resort Hotel,PRT,2015-07-06,1,7
177,Resort Hotel,GBR,2015-07-06,2,7
178,Resort Hotel,PRT,2015-07-06,2,8
179,Resort Hotel,PRT,2015-07-06,2,10
180,Resort Hotel,GBR,2015-07-06,2,10
181,Resort Hotel,GBR,2015-07-06,2,10
182,Resort Hotel,PRT,2015-07-06,2,10
183,Resort Hotel,GBR,2015-07-06,2,10
184,Resort Hotel,FRA,2015-07-06,1,11
185,Resort Hotel,ITA,2015-07-06,2,14
186,Resort Hotel,GBR,2015-07-06,2,14
187,Resort Hotel,PRT,2015-07-06,2,7
188,Resort Hotel,PRT,2015-07-07,2,2
189,Resort Hotel,ESP,2015-07-07,2,3
190,Resort Hotel,PRT,2015-07-07,3,3
191,Resort Hotel,GBR,2015-07-07,1,1
192,Resort Hotel,PRT,2015-07-07,3,1
193,Resort Hotel,GBR,2015-07-07,1,1
194,Resort Hotel,ESP,2015-07-07,5,4
195,Resort Hotel,PRT,2015-07-07,2,4
196,Resort Hotel,USA,2015-07-07,3,4
197,Resort Hotel,NLD,2015-07-07,2,4
198,Resort Hotel,PRT,2015-07-07,2,5
199,Resort Hotel,PRT,2015-07-07,2,7
200,Resort Hotel,IRL,2015-07-07,2,7
201,Resort Hotel,PRT,2015-07-07,2,7
202,Resort Hotel,IRL,2015-07-07,2,14
203,Resort Hotel,GBR,2015-07-08,2,3
204,Resort Hotel,PRT,2015-07-08,2,4
205,Resort Hotel,ESP,2015-07-08,2,4
206,Resort Hotel,PRT,2015-07-08,2,4
207,Resort Hotel,ESP,2015-07-08,2,4
208,Resort Hotel,PRT,2015-07-08,2,4
209,Resort Hotel,PRT,2015-07-08,2,4
210,Resort Hotel,PRT,2015-07-08,1,1
211,Resort Hotel,PRT,2015-07-08,2,1
212,Resort Hotel,PRT,2015-07-08,2,1
213,Resort Hotel,CHE,2015-07-08,2,2
214,Resort Hotel,PRT,2015-07-08,2,5
215,Resort Hotel,PRT,2015-07-08,2,6
216,Resort Hotel,PRT,2015-07-08,3,7
217,Resort Hotel,GBR,2015-07-08,2,7
218,Resort Hotel,GBR,2015-07-08,2,7
219,Resort Hotel,PRT,2015-07-08,2,7
220,Resort Hotel,IRL,2015-07-08,3,8
221,Resort Hotel,DNK,2015-07-08,3,9
222,Resort Hotel,DNK,2015-07-08,2,9
223,Resort Hotel,PRT,2015-07-09,4,1
224,Resort Hotel,ARG,2015-07-09,3,2
225,Resort Hotel,PRT,2015-07-09,4,2
226,Resort Hotel,PRT,2015-07-09,2,3
227,Resort Hotel,PRT,2015-07-09,4,3
228,Resort Hotel,PRT,2015-07-09,4,3
229,Resort Hotel,PRT,2015-07-09,2,3
230,Resort Hotel,PRT,2015-07-09,2,4
231,Resort Hotel,PRT,2015-07-09,2,4
232,Resort Hotel,RUS,2015-07-09,1,4
233,Resort Hotel,SWE,2015-07-09,2,5
234,Resort Hotel,POL,2015-07-09,2,5
235,Resort Hotel,FRA,2015-07-09,2,7
236,Resort Hotel,GBR,2015-07-09,2,7
237,Resort Hotel,GBR,2015-07-09,2,7
238,Resort Hotel,GBR,2015-07-09,2,7
239,Resort Hotel,PRT,2015-07-09,2,7
240,Resort Hotel,PRT,2015-07-09,2,8
241,Resort Hotel,USA,2015-07-10,2,1
242,Resort Hotel,PRT,2015-07-10,2,2
243,Resort Hotel,PRT,2015-07-10,2,2
244,Resort Hotel,PRT,2015-07-10,2,2
245,Resort Hotel,PRT,2015-07-10,2,2
246,Resort Hotel,PRT,2015-07-10,2,2
247,Resort Hotel,PRT,2015-07-10,3,2
248,Resort Hotel,PRT,2015-07-10,2,2
249,Resort Hotel,PRT,2015-07-10,2,2
250,Resort Hotel,GBR,2015-07-10,2,3
251,Resort Hotel,AUS,2015-07-10,2,3
252,Resort Hotel,GBR,2015-07-10,2,3
253,Resort Hotel,PRT,2015-07-10,2,4
254,Resort Hotel,PRT,2015-07-10,2,4
255,Resort Hotel,PRT,2015-07-10,2,5
256,Resort Hotel,POL,2015-07-10,2,5
257,Resort Hotel,PRT,2015-07-10,2,5
258,Resort Hotel,EST,2015-07-10,4,5
259,Resort Hotel,PRT,2015-07-10,2,7
260,Resort Hotel,PRT,2015-07-10,2,7
261,Resort Hotel,PRT,2015-07-10,2,7
262,Resort Hotel,PRT,2015-07-10,2,7
263,Resort Hotel,RUS,2015-07-10,1,7
264,Resort Hotel,GBR,2015-07-10,3,7
265,Resort Hotel,PRT,2015-07-10,3,7
266,Resort Hotel,PRT,2015-07-10,4,8
267,Resort Hotel,IRL,2015-07-10,2,9
268,Resort Hotel,PRT,2015-07-10,2,10
269,Resort Hotel,GBR,2015-07-10,2,11
270,Resort Hotel,DNK,2015-07-10,2,13
271,Resort Hotel,GBR,2015-07-10,3,7
272,Resort Hotel,GBR,2015-07-10,2,7
273,Resort Hotel,PRT,2015-07-11,3,5
274,Resort Hotel,ESP,2015-07-11,2,5
275,Resort Hotel,PRT,2015-07-11,2,6
276,Resort Hotel,PRT,2015-07-11,2,6
277,Resort Hotel,PRT,2015-07-11,3,6
278,Resort Hotel,ESP,2015-07-11,2,6
279,Resort Hotel,PRT,2015-07-11,2,7
280,Resort Hotel,PRT,2015-07-11,2,7
281,Resort Hotel,GBR,2015-07-11,2,4
282,Resort Hotel,PRT,2015-07-11,2,4
283,Resort Hotel,CZE,2015-07-11,2,4
284,Resort Hotel,GBR,2015-07-11,1,1
285,Resort Hotel,DEU,2015-07-11,2,1
286,Resort Hotel,ESP,2015-07-11,2,1
287,Resort Hotel,ESP,2015-07-11,2,1
288,Resort Hotel,PRT,2015-07-11,2,2
289,Resort Hotel,ESP,2015-07-11,2,2
290,Resort Hotel,ROU,2015-07-11,2,2
291,Resort Hotel,PRT,2015-07-11,2,3
292,Resort Hotel,ESP,2015-07-11,2,3
293,Resort Hotel,PRT,2015-07-11,2,7
294,Resort Hotel,PRT,2015-07-11,2,7
295,Resort Hotel,PRT,2015-07-11,2,8
296,Resort Hotel,PRT,2015-07-11,4,8
297,Resort Hotel,PRT,2015-07-11,2,10
298,Resort Hotel,PRT,2015-07-11,2,7
299,Resort Hotel,PRT,2015-07-11,2,7
300,Resort Hotel,CN,2015-07-12,4,1
301,Resort Hotel,PRT,2015-07-12,2,1
302,Resort Hotel,PRT,2015-07-12,3,6
303,Resort Hotel,PRT,2015-07-12,2,6
304,Resort Hotel,GBR,2015-07-12,2,7
305,Resort Hotel,BRA,2015-07-12,2,7
306,Resort Hotel,PRT,2015-07-12,2,7
307,Resort Hotel,ESP,2015-07-12,2,7
308,Resort Hotel,PRT,2015-07-12,4,7
309,Resort Hotel,GBR,2015-07-12,2,7
310,Resort Hotel,PRT,2015-07-12,2,7
311,Resort Hotel,PRT,2015-07-12,2,7
312,Resort Hotel,GBR,2015-07-12,2,7
313,Resort Hotel,PRT,2015-07-12,2,7
314,Resort Hotel,GBR,2015-07-12,2,7
315,Resort Hotel,ESP,2015-07-12,2,7
316,Resort Hotel,PRT,2015-07-12,2,8
317,Resort Hotel,FRA,2015-07-12,2,9
318,Resort Hotel,PRT,2015-07-12,2,9
319,Resort Hotel,GBR,2015-07-12,2,11
320,Resort Hotel,GBR,2015-07-12,2,11
321,Resort Hotel,PRT,2015-07-12,12,14
322,Resort Hotel,GBR,2015-07-12,2,7
323,Resort Hotel,PRT,2015-07-12,2,1
324,Resort Hotel,BEL,2015-07-12,4,2
325,Resort Hotel,ESP,2015-07-12,2,2
326,Resort Hotel,FRA,2015-07-12,2,2
327,Resort Hotel,ESP,2015-07-12,2,2
328,Resort Hotel,BEL,2015-07-12,2,2
329,Resort Hotel,ITA,2015-07-12,2,3
330,Resort Hotel,ESP,2015-07-12,2,3
331,Resort Hotel,PRT,2015-07-12,2,3
332,Resort Hotel,FRA,2015-07-12,2,4
333,Resort Hotel,FIN,2015-07-12,2,4
334,Resort Hotel,CN,2015-07-12,4,4
335,Resort Hotel,ESP,2015-07-12,2,5
336,Resort Hotel,PRT,2015-07-12,2,5
337,Resort Hotel,IRL,2015-07-12,4,5
338,Resort Hotel,ESP,2015-07-12,2,5
339,Resort Hotel,ESP,2015-07-13,2,7
340,Resort Hotel,PRT,2015-07-13,2,7
341,Resort Hotel,PRT,2015-07-13,2,7
342,Resort Hotel,GBR,2015-07-13,2,7
343,Resort Hotel,ESP,2015-07-13,2,2
344,Resort Hotel,ESP,2015-07-13,2,2
345,Resort Hotel,AUS,2015-07-13,2,2
346,Resort Hotel,ESP,2015-07-13,2,2
347,Resort Hotel,PRT,2015-07-13,4,2
348,Resort Hotel,ESP,2015-07-13,2,2
349,Resort Hotel,ESP,2015-07-13,2,2
350,Resort Hotel,PRT,2015-07-13,2,2
351,Resort Hotel,USA,2015-07-13,2,3
352,Resort Hotel,PRT,2015-07-13,2,3
353,Resort Hotel,ESP,2015-07-13,2,3
354,Resort Hotel,PRT,2015-07-13,2,3
355,Resort Hotel,ESP,2015-07-13,2,3
356,Resort Hotel,PRT,2015-07-13,1,4
357,Resort Hotel,PRT,2015-07-13,2,5
358,Resort Hotel,PRT,2015-07-13,2,5
359,Resort Hotel,ESP,2015-07-13,2,5
360,Resort Hotel,PRT,2015-07-13,2,5
361,Resort Hotel,PRT,2015-07-13,2,5
362,Resort Hotel,PRT,2015-07-13,2,5
363,Resort Hotel,PRT,2015-07-13,2,5
364,Resort Hotel,PRT,2015-07-13,2,5
365,Resort Hotel,ESP,2015-07-13,2,5
366,Resort Hotel,PRT,2015-07-13,3,5
367,Resort Hotel,PRT,2015-07-13,2,6
368,Resort Hotel,PRT,2015-07-13,2,6
369,Resort Hotel,PRT,2015-07-13,1,6
370,Resort Hotel,FRA,2015-07-13,2,6
371,Resort Hotel,PRT,2015-07-13,2,7
372,Resort Hotel,PRT,2015-07-13,2,7
373,Resort Hotel,ESP,2015-07-13,3,7
374,Resort Hotel,PRT,2015-07-13,2,7
375,Resort Hotel,ROU,2015-07-13,2,1
376,Resort Hotel,ESP,2015-07-13,2,4
377,Resort Hotel,FIN,2015-07-13,2,8
378,Resort Hotel,GBR,2015-07-13,2,9
379,Resort Hotel,PRT,2015-07-14,2,1
380,Resort Hotel,PRT,2015-07-14,1,1
381,Resort Hotel,PRT,2015-07-14,2,1
382,Resort Hotel,PRT,2015-07-14,2,2
383,Resort Hotel,PRT,2015-07-14,2,4
384,Resort Hotel,ESP,2015-07-14,2,4
385,Resort Hotel,POL,2015-07-14,2,5
386,Resort Hotel,PRT,2015-07-14,2,5
387,Resort Hotel,PRT,2015-07-14,2,6
388,Resort Hotel,PRT,2015-07-14,3,6
389,Resort Hotel,PRT,2015-07-14,4,6
390,Resort Hotel,PRT,2015-07-14,1,7
391,Resort Hotel,ESP,2015-07-14,2,7
392,Resort Hotel,ESP,2015-07-14,2,7
393,Resort Hotel,PRT,2015-07-14,2,9
394,Resort Hotel,PRT,2015-07-14,2,9
395,Resort Hotel,IRL,2015-07-14,2,9
396,Resort Hotel,IRL,2015-07-14,2,11
397,Resort Hotel,SWE,2015-07-14,2,14
398,Resort Hotel,SWE,2015-07-14,2,14
399,Resort Hotel,PRT,2015-07-14,3,15
400,Resort Hotel,PRT,2015-07-14,1,1
401,Resort Hotel,PRT,2015-07-15,2,3
402,Resort Hotel,PRT,2015-07-15,2,3
403,Resort Hotel,POL,2015-07-15,2,6
404,Resort Hotel,PRT,2015-07-15,2,7
405,Resort Hotel,GBR,2015-07-15,4,8
406,Resort Hotel,PRT,2015-07-15,2,2
407,Resort Hotel,PRT,2015-07-15,2,2
408,Resort Hotel,PRT,2015-07-15,2,2
409,Resort Hotel,PRT,2015-07-15,2,2
410,Resort Hotel,PRT,2015-07-15,2,2
411,Resort Hotel,GBR,2015-07-15,4,9
412,Resort Hotel,PRT,2015-07-15,2,2
413,Resort Hotel,PRT,2015-07-15,1,2
414,Resort Hotel,PRT,2015-07-15,2,2
415,Resort Hotel,PRT,2015-07-15,2,2
416,Resort Hotel,PRT,2015-07-15,3,2
417,Resort Hotel,PRT,2015-07-15,1,2
418,Resort Hotel,PRT,2015-07-15,2,2
419,Resort Hotel,PRT,2015-07-15,2,2
420,Resort Hotel,PRT,2015-07-15,3,2
421,Resort Hotel,PRT,2015-07-15,1,2
422,Resort Hotel,PRT,2015-07-15,2,2
423,Resort Hotel,PRT,2015-07-15,2,2
424,Resort Hotel,PRT,2015-07-15,2,2
425,Resort Hotel,PRT,2015-07-15,2,2
426,Resort Hotel,PRT,2015-07-15,2,2
427,Resort Hotel,PRT,2015-07-16,4,2
428,Resort Hotel,DNK,2015-07-16,2,2
429,Resort Hotel,FIN,2015-07-16,2,1
430,Resort Hotel,PRT,2015-07-16,1,1
431,Resort Hotel,PRT,2015-07-16,2,1
432,Resort Hotel,USA,2015-07-16,4,1
433,Resort Hotel,PRT,2015-07-16,4,2
434,Resort Hotel,PRT,2015-07-16,2,2
435,Resort Hotel,PRT,2015-07-16,3,2
436,Resort Hotel,DNK,2015-07-16,2,2
437,Resort Hotel,ESP,2015-07-16,2,3
438,Resort Hotel,PRT,2015-07-16,2,3
439,Resort Hotel,PRT,2015-07-16,2,3
440,Resort Hotel,PRT,2015-07-16,2,3
441,Resort Hotel,ESP,2015-07-16,2,3
442,Resort Hotel,IRL,2015-07-16,2,5
443,Resort Hotel,PRT,2015-07-16,2,5
444,Resort Hotel,IRL,2015-07-16,1,5
445,Resort Hotel,PRT,2015-07-16,2,4
446,Resort Hotel,PRT,2015-07-16,2,4
447,Resort Hotel,PRT,2015-07-16,2,6
448,Resort Hotel,PRT,2015-07-16,2,6
449,Resort Hotel,GBR,2015-07-16,2,7
450,Resort Hotel,PRT,2015-07-16,2,8
451,Resort Hotel,PRT,2015-07-16,1,14
452,Resort Hotel,PRT,2015-07-17,2,2
453,Resort Hotel,PRT,2015-07-17,2,2
454,Resort Hotel,PRT,2015-07-17,2,2
455,Resort Hotel,PRT,2015-07-17,2,2
456,Resort Hotel,PRT,2015-07-17,2,2
457,Resort Hotel,PRT,2015-07-17,2,2
458,Resort Hotel,ESP,2015-07-17,2,2
459,Resort Hotel,PRT,2015-07-17,2,2
460,Resort Hotel,PRT,2015-07-17,2,2
461,Resort Hotel,ESP,2015-07-17,2,2
462,Resort Hotel,PRT,2015-07-17,2,2
463,Resort Hotel,PRT,2015-07-17,2,2
464,Resort Hotel,PRT,2015-07-17,1,2
465,Resort Hotel,PRT,2015-07-17,2,3
466,Resort Hotel,PRT,2015-07-17,2,5
467,Resort Hotel,PRT,2015-07-17,3,5
468,Resort Hotel,ESP,2015-07-17,2,5
469,Resort Hotel,PRT,2015-07-17,1,5
470,Resort Hotel,PRT,2015-07-17,2,5
471,Resort Hotel,PRT,2015-07-17,1,5
472,Resort Hotel,PRT,2015-07-17,1,5
473,Resort Hotel,PRT,2015-07-17,2,5
474,Resort Hotel,PRT,2015-07-17,4,5
475,Resort Hotel,PRT,2015-07-17,2,6
476,Resort Hotel,ESP,2015-07-17,4,7
477,Resort Hotel,IRL,2015-07-17,2,7
478,Resort Hotel,PRT,2015-07-17,4,7
479,Resort Hotel,PRT,2015-07-17,2,7
480,Resort Hotel,PRT,2015-07-17,2,7
481,Resort Hotel,GBR,2015-07-17,2,7
482,Resort Hotel,PRT,2015-07-17,2,7
483,Resort Hotel,ESP,2015-07-17,2,8
484,Resort Hotel,ESP,2015-07-17,2,8
485,Resort Hotel,FRA,2015-07-17,3,8
486,Resort Hotel,ESP,2015-07-17,2,10
487,Resort Hotel,MOZ,2015-07-17,2,3
488,Resort Hotel,BWA,2015-07-17,3,3
489,Resort Hotel,PRT,2015-07-17,3,3
490,Resort Hotel,GBR,2015-07-17,2,3
491,Resort Hotel,ESP,2015-07-17,2,3
492,Resort Hotel,DEU,2015-07-17,2,3
493,Resort Hotel,PRT,2015-07-17,2,3
494,Resort Hotel,IRL,2015-07-17,2,3
495,Resort Hotel,GBR,2015-07-17,2,3
496,Resort Hotel,PRT,2015-07-17,2,1
497,Resort Hotel,MOZ,2015-07-17,3,3
498,Resort Hotel,ESP,2015-07-17,2,3
499,Resort Hotel,PRT,2015-07-17,3,4
500,Resort Hotel,ESP,2015-07-18,2,3
501,Resort Hotel,PRT,2015-07-18,2,6
502,Resort Hotel,LUX,2015-07-18,3,6
503,Resort Hotel,PRT,2015-07-18,4,6
504,Resort Hotel,PRT,2015-07-18,2,7
505,Resort Hotel,PRT,2015-07-18,2,7
506,Resort Hotel,PRT,2015-07-18,2,4
507,Resort Hotel,PRT,2015-07-18,2,4
508,Resort Hotel,PRT,2015-07-18,2,4
509,Resort Hotel,PRT,2015-07-18,2,4
510,Resort Hotel,PRT,2015-07-18,4,5
511,Resort Hotel,PRT,2015-07-18,2,5
512,Resort Hotel,GBR,2015-07-18,2,5
513,Resort Hotel,PRT,2015-07-18,3,5
514,Resort Hotel,PRT,2015-07-18,2,1
515,Resort Hotel,PRT,2015-07-18,4,1
516,Resort Hotel,PRT,2015-07-18,3,2
517,Resort Hotel,CN,2015-07-18,1,3
518,Resort Hotel,PRT,2015-07-18,3,7
519,Resort Hotel,ESP,2015-07-18,2,7
520,Resort Hotel,PRT,2015-07-18,2,7
521,Resort Hotel,PRT,2015-07-18,2,7
522,Resort Hotel,PRT,2015-07-18,2,7
523,Resort Hotel,PRT,2015-07-18,2,7
524,Resort Hotel,PRT,2015-07-18,2,7
525,Resort Hotel,PRT,2015-07-18,2,7
526,Resort Hotel,ESP,2015-07-18,2,8
527,Resort Hotel,PRT,2015-07-18,2,8
528,Resort Hotel,ESP,2015-07-18,2,8
529,Resort Hotel,IRL,2015-07-18,2,14
530,Resort Hotel,PRT,2015-07-19,2,1
531,Resort Hotel,PRT,2015-07-19,2,1
532,Resort Hotel,NLD,2015-07-19,2,1
533,Resort Hotel,PRT,2015-07-19,2,1
534,Resort Hotel,PRT,2015-07-19,2,1
535,Resort Hotel,PRT,2015-07-19,2,2
536,Resort Hotel,PRT,2015-07-19,2,3
537,Resort Hotel,PRT,2015-07-19,2,4
538,Resort Hotel,PRT,2015-07-19,2,4
539,Resort Hotel,PRT,2015-07-19,2,5
540,Resort Hotel,PRT,2015-07-19,1,6
541,Resort Hotel,PRT,2015-07-19,2,7
542,Resort Hotel,ESP,2015-07-19,4,7
543,Resort Hotel,PRT,2015-07-19,2,7
544,Resort Hotel,GBR,2015-07-19,2,7
545,Resort Hotel,PRT,2015-07-19,2,7
546,Resort Hotel,RUS,2015-07-19,2,7
547,Resort Hotel,PRT,2015-07-19,2,7
548,Resort Hotel,IRL,2015-07-19,2,7
549,Resort Hotel,PRT,2015-07-19,3,6
550,Resort Hotel,PRT,2015-07-19,4,6
551,Resort Hotel,PRT,2015-07-19,2,6
552,Resort Hotel,GBR,2015-07-19,2,7
553,Resort Hotel,IRL,2015-07-19,2,7
554,Resort Hotel,PRT,2015-07-19,4,8
555,Resort Hotel,GBR,2015-07-19,2,10
556,Resort Hotel,GBR,2015-07-19,2,14
557,Resort Hotel,ESP,2015-07-19,2,6
